Name,Mortality,Original_Mortality,New_Mort,dnbr,Mortality_Qualitative,prefire_cover,new_cover,Veg_Assoc,elev,slope,temp,sr,precip,tpi,cwd,vpd_Aug,twi,Mean Aspect ,flow,area,southwestness,vpd_jan,fri,wind_speed,wind_direction,wind_exposition,elev_d,slope_d,temp_d,sr_d,precip_d,tpi_d,cwd_d,vpd_a_d,twi_d,area_d,vpd_j_d,elev_p,slope_p,temp_p,sr_p,precip_p,tpi_p,cwd_p,vpd_a_p,twi_p,area_p,vpd_j_p,landscape_position,cwd_2
1,0,None,low,0.175476,None,Moderate-High(50-75%),moderate,Chap,1137.572765,33.219561,35.041971,600835.3042,472.718159,-3.4664,1138.127391,48.385072,4.091498,61.592935,0.618153,6179.654724,0.999021261,13.315232,100,10.512772,306.3018,0.978949,10%,60%,100%,10%,10%,30%,10%,100%,30%,50%,100%,25%,75%,100%,25%,25%,50%,25%,100%,25%,50%,100%,Upmost ,1059.870445
2,0,None,low,0.22708,None,Moderate (25-50%),moderate_low,Chap,1152.342738,36.652173,34.886959,294761.5757,470.05104,-2.778458,1152.333743,48.290606,4.08252,21.806178,0.698575,3481.04409,-0.532114338,13.279799,100,11.349623,308.483186,0.989684,20%,80%,100%,10%,10%,40%,20%,100%,20%,30%,100%,25%,100%,100%,25%,25%,50%,25%,100%,25%,50%,100%,Midslope,1047.814478
3,1,Very Low,low,0.160672,Low,Moderate (25-50%),moderate_low,Chap,1171.523336,39.91354,34.695166,467908.3497,466.419397,-2.210553,1172.108662,47.650688,4.00941,52.908208,0.658962,30094.06414,-0.767538617,13.129065,100,12.698112,306.926787,1.001239,20%,100%,100%,10%,10%,50%,20%,100%,20%,90%,100%,25%,100%,100%,25%,25%,50%,25%,100%,25%,100%,100%,Midslope,1032.18759
4,5,High,high,0.257229,High,Moderate-High(50-75%),moderate,Chap,1133.500584,28.017006,34.974128,936412.8141,468.668032,-2.375696,1132.629826,48.401266,4.650119,171.399448,0.689571,5650.326292,-0.981341659,13.310187,100,11.172647,308.100303,0.963299,10%,30%,100%,20%,10%,50%,10%,100%,50%,50%,100%,25%,25%,100%,25%,25%,50%,25%,100%,50%,50%,100%,Midslope,1050.862086
5,5,High,high,0.306141,High,Moderate (25-50%),moderate_low,Chap,1123.490326,30.184518,34.836111,802898.8387,466.556502,-2.353055,1124.088251,48.143251,4.641102,97.477476,0.789093,18988.84371,-0.28405581,13.239335,100,12.009693,308.469341,0.952482,10%,40%,100%,10%,10%,50%,10%,100%,50%,80%,100%,25%,50%,100%,25%,25%,50%,25%,100%,50%,75%,100%,Midslope,1037.289038
26,0,None,low,-0.132673,None,Moderate (25-50%),moderate_low,Chap,1200.904532,27.133931,33.980149,2399245.663,533.594254,0.420795,1201.384728,44.863657,4.580173,269.82427,0.61651,1045.242029,0.665992459,12.414809,100,10.656407,300.099032,0.97498,20%,20%,90%,100%,20%,90%,20%,80%,50%,10%,100%,25%,25%,100%,100%,25%,100%,25%,100%,50%,25%,100%,Midslope,965.968614
28,1,Very Low,low,0.440952,Low,Moderate-High(50-75%),moderate,Chap,1204.582308,35.663538,34.451663,1285642.45,475.480483,-2.811169,1204.149748,46.042377,4.590563,237.339569,0.817406,14403.34541,0.974390574,12.792515,100,13.941349,305.895402,1.003419,20%,80%,90%,50%,10%,40%,20%,90%,50%,70%,100%,25%,75%,100%,50%,25%,50%,25%,100%,50%,75%,100%,Upmost with Drainage,1025.138116
29,5,High,high,0.556614,High,High (75-100%),high,Chap,1174.573811,31.882602,34.464154,1034576.414,476.503369,-2.596837,1174.485956,46.041864,5.048453,215.429293,0.893247,26353.40903,-0.98937124,12.805384,100,13.059639,304.429542,0.971468,20%,50%,90%,30%,10%,40%,20%,90%,70%,80%,100%,25%,50%,100%,25%,25%,50%,25%,100%,75%,100%,100%,Midslope with Drainage,1016.488589
30,2,Low,ml,0.462011,Low,Moderate-High(50-75%),moderate,Chap,1210.104412,33.243396,34.378174,1230355.222,484.413581,-1.218,1209.566036,45.869033,4.863598,275.1679,0.804715,23932.21402,0.995242609,12.771034,100,12.528635,305.104617,1.012093,30%,60%,90%,50%,10%,70%,30%,90%,60%,80%,100%,25%,75%,100%,50%,25%,75%,25%,100%,75%,100%,100%,Upmost with Drainage,1018.709307
31,5,High,high,0.70389,High,High (75-100%),high,Chap,1199.838809,35.073152,34.330488,717527.8097,488.453832,-0.347607,1199.560455,45.863236,4.296267,159.119899,0.900298,12642.19821,-0.995646544,12.767788,100,11.704195,304.334828,1.014352,20%,70%,90%,10%,20%,80%,20%,90%,30%,70%,100%,25%,75%,100%,25%,25%,100%,25%,100%,50%,75%,100%,Midslope ,1014.8168
